rank,name,net_worth (in billion $),age,country / territory,source,industry
1.00,Bernard Arnault & family,211,74,France,LVMH,Fashion & Retail
2.00,Elon Musk,180,51,United States,"Tesla, SpaceX",Automotive
3.00,Jeff Bezos,114,59,United States,Amazon,Technology
4.00,Larry Ellison,107,78,United States,Oracle,Technology
5.00,Warren Buffett,106,92,United States,Berkshire Hathaway,Finance & Investments
6.00,Bill Gates,104,67,United States,Microsoft,Technology
7.00,Michael Bloomberg,94.5,81,United States,Bloomberg LP,Media & Entertainment
8.00,Carlos Slim Helu & family,93,83,Mexico,Telecom,Telecom
9.00,Mukesh Ambani,83.4,65,India,Diversified,Diversified
10.00,Steve Ballmer,80.7,67,United States,Microsoft,Technology
11.00,Francoise Bettencourt Meyers & family,80.5,69,France,L'Oréal,Fashion & Retail
12.00,Larry Page,79.2,50,United States,Google,Technology
13.00,Amancio Ortega,77.3,87,Spain,Zara,Fashion & Retail
14.00,Sergey Brin,76,49,United States,Google,Technology
15.00,Zhong Shanshan,68,68,China,"Beverages, pharmaceuticals",Food & Beverage
16.00,Mark Zuckerberg,64.4,38,United States,Facebook,Technology
17.00,Charles Koch,59,87,United States,Koch Industries,Diversified
17.00,Julia Koch & family,59,60,United States,Koch Industries,Diversified
19.00,Jim Walton,58.8,74,United States,Walmart,Fashion & Retail
20.00,Rob Walton,57.6,78,United States,Walmart,Fashion & Retail
21.00,Alice Walton,56.7,73,United States,Walmart,Fashion & Retail
22.00,David Thomson & family,54.4,65,Canada,Media,Media & Entertainment
23.00,Michael Dell,50.1,58,United States,Dell Technologies,Technology
24.00,Gautam Adani,47.2,60,India,"Infrastructure, commodities",Diversified
25.00,Phil Knight & family,45.1,85,United States,Nike,Fashion & Retail
26.00,Zhang Yiming,45,39,China,TikTok,Technology
27.00,Dieter Schwarz,42.9,83,Germany,Retail,Fashion & Retail
28.00,François Pinault & family,40.1,86,France,Luxury goods,Fashion & Retail
29.00,Klaus-Michael Kuehne,39.1,85,Germany,Shipping,Logistics
30.00,Giovanni Ferrero,38.9,58,Italy,"Nutella, chocolates",Food & Beverage
31.00,Jacqueline Mars,38.3,83,United States,"Candy, pet food",Food & Beverage
31.00,John Mars,38.3,87,United States,"Candy, pet food",Food & Beverage
33.00,Li Ka-shing,38,94,Hong Kong,Diversified,Diversified
34.00,Ma Huateng,35.3,51,China,Internet media,Technology
35.00,Ken Griffin,35,54,United States,Hedge funds,Finance & Investments
35.00,Miriam Adelson & family,35,77,United States,Casinos,Gambling & Casinos
37.00,Mark Mateschitz,34.7,30,Austria,Red Bull,Food & Beverage
38.00,Robin Zeng,33.4,54,Hong Kong,Batteries,Automotive
39.00,Tadashi Yanai & family,32.6,74,Japan,Fashion retail,Fashion & Retail
40.00,Len Blavatnik,32.1,65,United States,"Music, chemicals",Diversified
41.00,Alain Wertheimer,31.6,74,France,Chanel,Fashion & Retail
